carPlate,carModel,acquirePrice,carStatus,salesPrice
ABC123,Honda Civic,90000,0,95000
XYZ789,Toyota Camry,120000,0,126000
MNO456,Nissan Almera,80000,0,85600
PQR234,Mazda 3,110000,0,115600
GHI567,Ford Focus,100000,0,107620
JKL678,Chevrolet Cruze,95000,0,99750
STU901,Kia Forte,85000,0,89500
VWX234,Honda Accord,130000,0,147000
CDE345,Mitsubishi Lancer,90000,0,95550
FGH456,Nissan Sylphy,100000,0,105550
IJK567,Mazda 6,140000,0,148800
LMO678,Ford Fiesta,80000,0,85500
NOP789,Chevrolet Malibu,120000,0,127000
QRS901,Kia Optima,110000,0,113500
TUV012,Honda City,85000,0,89150
WXY123,Mitsubishi Attrage,75000,0,78050
ZAB234,Nissan Teana,130000,0,135400
CDF345,Mazda CX-5,150000,0,159900
GHI456,Ford Escape,140000,0,145670
JLM567,Chevrolet Captiva,130000,0,137000
MNO678,Ford Fiesta,80100,0,85000
PQR789,Chevrolet Malibu,121200,1,
RST901,Mitsubishi ASX 130000 0,136700,0,153000
ZBC234,Nissan X-Trail,150300,0,157000
FEG456,Mazda CX-9,180400,0,198800
MNP789,Ford Explorer,170500,1,
QRT901,Chevrolet Traverse,160600,0,168000
UVW012,Kia Sorento,150700,0,154300
XYZ123,Honda Odyssey,160800,0,169000
BAC234,Mitsubishi Grandis,140900,1,
DEF345,Honda Civic,90100,0,96500
HJK456,Toyota Camry,121100,0,126300
LNO567,Nissan Almera,80100,0,83500
PQR678,Mazda 3,111200,0,115500
STU789,Ford Focus,100300,0,105000
WXY901,Chevrolet Cruze,95400,0,99750
ZDE012,Kia Forte,85500,0,89000
FGL123,Honda Accord,130600,0,140000
JMO234,Mitsubishi Lancer,90700,0,94500
NRS345,Nissan Sylphy,100800,1,
TWX456,Mazda 6,140900,0,147000
ZGH567,Kia Optima,111000,0,115500
BKL678,Honda City,85100,0,89250
BFG678,Kia Optima,110200,0,115500
DHI789,Honda City,85200,0,89250
FJK901,Nissan Teana,130400,1,
HLM012,Mazda CX-5,150600,0,157500
JNO123,Ford Escape,140800,1,
LPR234,Chevrolet Captiva,130100,0,136500
NST345,Kia Sportage,120300,0,126000
PVW456,Nissan X-trail,150500,0,157500
RCD123,Mazda CX-9,180700,0,189000
TEF234,Ford Explorer,170900,1,
VGH345,Chevrolet Traverse,160100,0,168000
XIJ456,Kia Sorento,150300,1,
ZLM567,Honda Odyssey,160500,0,169500
BNO678,Mitsubishi Grandis,140700,0,151800
DQR789,Honda CR-V,140900,1,
FST901,Mitsubishi ASX,130200,0,136500
HUV012,Nissan X-Trail,150400,0,160000
JWX123,Mazda CX-9,180600,0,189000
LZY234,Ford Explorer,170800,0,182100
NAB345,Chevrolet Traverse,160000,0,167700
PDE456,Kia Sorento,150000,1,
RGH567,Honda Odyssey,160000,0,168800
TIJ678,Mitsubishi Grandis,140000,1,
VLM789,Honda CR-V,140000,0,158800
XNO901,Mitsubishi ASX,130000,0,136500
ZQR012,Nissan X-Trail,150000,1,
BST123,Mazda CX-9,180000,0,189000
DUV234,Ford Explorer,170000,0,178000
FXY345,Chevrolet Traverse,160000,0,168000
HBC456,Kia Sorento,150000,1,
JEF567,Honda Odyssey,160000,0,168000
LGH678,Mitsubishi Grandis,140000,1,
NIJ789,Honda Civic,85000,0,89250
PKL901,Toyota Camry,90000,0,94500
RNO012,Nissan Almera,80000,0,84000
TQR123,Mazda 3,110000,0,115500
VST234,Ford Focus,100000,0,105000
WUV345,Chevrolet Cruze,95000,0,99750
YBC456,Kia Forte,85000,0,89250
ZDE567,Honda Accord,130000,1,
JKT567,Mitsubishi Lancer,90000,0,94500
RQZ1234,Nissan Sylphy,100000,1,
BNG789,Mazda 6,140000,0,147000
XYP4567,Toyota Yaris,70940,0,75000
MVC901,Perodua Bezza,42550,0,47000
LGH2345,Toyota Avanza,73800,0,76700
WFD678,Perodua Myvi,41200,0,44000
ZTR3456,Honda Civic,109000,0,115900
HJK102,Proton Saga,32800,1,
NML5678,Nissan Almera,80000,0,85300
CDE304,Mazda CX5,132000,0,140000
VBN6789,Hyundai Kona,115000,0,132000
QWE405,Kia Picanto,50000,0,56250
ASD1230,Volkswagen Polo,74900,1,
YUI607,Honda Jazz,72800,0,73900
OPR7890,Toyota Vios,74200,0,76500
GFD908,Perodua Kancil,5000,0,5200
PQR7891,Perodua Ativa,66100,0,66500
MNP7892,Honda City,92900,0,104000
BAC2343,Toyota Vios,93600,0,107000
NRS3454,Proton X50,94800,0,105500
FJK9015,Nissan Almera,87900,0,91800
JNO1236,Mazda CX-5,138000,0,147850
TEF2347,Mitsubishi Xpander,91400,0,100000
XIJ4568,Kia Seltos,115900,0,121600
DQR7899,Hyundai Kona,123900,0,128000
PDE4560,Mercedes-Benz C200,259900,0,275000
TIJ6781,BMW 3 Series,248800,0,265000
ZQR0122,Audi A4,206500,0,217000
HBC4563,Volvo XC40,241500,0,270000
LGH6784,Peugeot 3008,150900,0,160000
ZDE5675,Subaru XV,117800,0,123050
RQZ1230,Renault Captur,105300,0,111000
HJK1026,Ford Ranger,90900,0,98500
ASD1237,Isuzu D-Max,88600,0,92000
